article_id,date,country,headline,news_topic,true_label,event_month,severity_weight,difficulty,hard_case_type,is_hard_case
ART000045,2022-01-03,Thailand,"Columnists say Prime Minister Aran Chaiyasit's cabinet is staging a 'judicial coup' in the battle over port fees, while government allies dismiss the phrase as campaign theater",law,other,,0,hard,metaphorical_language,yes
ART000046,2022-01-04,Guinea,"Columnists say President Mamadou Keita's cabinet is staging a 'judicial coup' in the battle over port fees, as analysts caution that the metaphor may confuse external observers",politics,other,,0,hard,metaphorical_language,yes
ART000047,2022-01-04,Guinea,"University researchers in Conakry publish a report on lessons from the 2010 constitutional crisis, while ministers insist the current situation is different",politics,other,,0,hard,historical_reference,yes
ART000048,2022-01-04,Guinea,"Diplomats in Conakry discuss whether term-limit tensions in Mali could disrupt regional summits, with most concern focused on trade and migration rather than regime change at home",international,other,,0,hard,foreign_event_reference,yes
ART000049,2022-01-04,Mali,"High Council of the Judiciary opens consultations on case backlogs and court staffing, after judges requested more time for deliberation",law,other,,0,easy,none,no
ART000050,2022-01-04,Mali,"Alliance for Sovereignty lawmakers propose routine updates to court budgeting and case management, while opposition parties search for broader political meaning in a narrow legal change",law,other,,0,hard,institutional_reform_noise,yes
ART000051,2022-01-04,Mali,"Malian Armed Forces begins a routine training exercise near Bamako, with merchants urging faster escorts for convoys",security,other,,0,easy,none,no
ART000052,2022-01-04,Tunisia,"Administrative Court hears arguments on municipal election rules in Tunisia, after judges requested more time for deliberation",law,other,,0,easy,none,no
ART000053,2022-01-04,Tunisia,"Ben Salem rejects calls for a cabinet reshuffle during talks in Tunis, as local election preparations begin",politics,other,,0,easy,none,no
ART000054,2022-01-04,Tunisia,"Columnists say President Karim Ben Salem's cabinet is staging a 'judicial coup' in the battle over port fees, using rhetorical language rather than alleging an actual seizure of power",law,other,,0,hard,metaphorical_language,yes
ART000055,2022-01-04,Bolivia,"Teachers in La Paz suspend a strike while negotiations continue over flood response plans, despite promises of a rapid settlement",society,other,,0,easy,none,no
ART000056,2022-01-04,Bolivia,"Analysts in La Paz revisit the 2016 crisis as lawmakers debate new security oversight rules, as investors ask whether the comparison is overdone",politics,other,,0,hard,historical_reference,yes
ART000057,2022-01-04,Bolivia,"Movement for National Renewal lawmakers propose routine updates to court budgeting and case management, as reformers argue that efficiency is being mistaken for politicization",law,other,,0,hard,institutional_reform_noise,yes
ART000058,2022-01-04,Thailand,"Student leaders in Thailand denounce a 'civilian coup' against campus unions after permit changes, as analysts caution that the metaphor may confuse external observers",law,other,,0,hard,metaphorical_language,yes
ART000059,2022-01-04,Thailand,"Pimchanok Saelim asks for parliamentary hearings on electricity arrears in Thailand, as local election preparations begin",politics,other,,0,easy,none,no
ART000060,2022-01-04,Thailand,"Business leaders in Bangkok warn that port delays are raising costs for importers, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000061,2022-01-05,Guinea,"Bauxite exporters in Guinea welcome a new logistics package, as investors watch inflation data",economy,other,,0,easy,none,no
ART000062,2022-01-05,Guinea,"Hospital unions in Guinea press ministers for clarity on hospital staffing, after a late-night meeting with ministers",society,other,,0,easy,none,no
ART000063,2022-01-05,Guinea,"Aissatou Diallo calls the budget rewrite a 'constitutional coup' against local councils in Guinea, while government allies dismiss the phrase as campaign theater",law,other,,0,hard,metaphorical_language,yes
ART000064,2022-01-05,Mali,"Hospital unions in Mali press ministers for clarity on urban transport strikes, after a late-night meeting with ministers",society,other,,0,easy,none,no
ART000065,2022-01-05,Mali,"High Council of the Judiciary backs a digital filing reform meant to reduce case backlogs in Mali, while opposition parties search for broader political meaning in a narrow legal change",law,other,,0,hard,institutional_reform_noise,yes
ART000066,2022-01-05,Mali,"Hospital unions in Mali press ministers for clarity on teacher salaries, as unions threaten further action",society,other,,0,easy,none,no
ART000067,2022-01-05,Tunisia,"Civil society groups in Tunisia launch a campaign on flood response plans, despite promises of a rapid settlement",society,other,,0,easy,none,no
ART000068,2022-01-05,Tunisia,"President Karim Ben Salem says judicial salaries and infrastructure will be discussed in the next budget, as business groups lobby for clarity",law,other,,0,easy,none,no
ART000069,2022-01-05,Tunisia,"Business leaders in Tunis warn that port delays are raising costs for importers, after exporters reported stronger shipments",economy,other,,0,easy,none,no
ART000070,2022-01-05,Bolivia,"Diplomats in La Paz discuss whether term-limit tensions in Tunisia could disrupt regional summits, while local ministers stress that the risk is external, not domestic",international,other,,0,hard,foreign_event_reference,yes
ART000071,2022-01-05,Bolivia,"Editors in Bolivia compare today's political mood with the 2016 institutional rupture, as investors ask whether the comparison is overdone",politics,other,,0,hard,historical_reference,yes
ART000072,2022-01-05,Bolivia,"Diplomats say Bolivia wants a broader regional deal on migration procedures, while diplomats prepare a joint communiqué",international,other,,0,easy,none,no
ART000073,2022-01-05,Thailand,"Teachers in Bangkok suspend a strike while negotiations continue over youth job programs, while parents and students call for clarity",society,other,,0,easy,none,no
ART000074,2022-01-05,Thailand,"Judicial Commission opens consultations on case backlogs and court staffing, while bar associations follow the case closely",law,other,,0,easy,none,no
ART000075,2022-01-05,Thailand,"Constitutional Court hears arguments on a land case involving local councils in Thailand, while bar associations follow the case closely",law,other,,0,easy,none,no
ART000076,2022-01-06,Guinea,"Aissatou Diallo asks for parliamentary hearings on teacher hiring in Guinea, ahead of next month's budget session",politics,other,,0,easy,none,no
ART000077,2022-01-06,Guinea,"Diplomats say Guinea wants a broader regional deal on joint patrol coordination, amid new talks on migration and trade",international,other,,0,easy,none,no
ART000078,2022-01-06,Guinea,"Teachers in Conakry suspend a strike while negotiations continue over teacher salaries, as unions threaten further action",society,other,,0,easy,none,no
ART000079,2022-01-06,Mali,"Mariam Traore asks for parliamentary hearings on municipal finance rules in Mali, after talks with coalition deputies",politics,other,,0,easy,none,no
ART000080,2022-01-06,Mali,"Opposition speakers accuse ministers of a 'third-term mindset' even as no amendment reaches parliament, as analysts caution that the metaphor may confuse external observers",law,other,,0,hard,metaphorical_language,yes
ART000081,2022-01-06,Mali,"Teachers in Bamako suspend a strike while negotiations continue over teacher salaries, as unions threaten further action",society,other,,0,easy,none,no
ART000082,2022-01-06,Tunisia,"President Karim Ben Salem says judicial salaries and infrastructure will be discussed in the next budget, after judges requested more time for deliberation",law,other,,0,easy,none,no
ART000083,2022-01-06,Tunisia,"Teachers in Tunis suspend a strike while negotiations continue over teacher salaries, as unions threaten further action",society,other,,0,easy,none,no
ART000084,2022-01-06,Tunisia,"Finance officials in Tunisia revise growth expectations after a stronger quarter, as investors watch inflation data",economy,other,,0,easy,none,no
ART000085,2022-01-06,Bolivia,"Diego Rojas asks for parliamentary hearings on electricity arrears in Bolivia, while labor unions press for wage talks",politics,other,,0,easy,none,no
ART000086,2022-01-06,Bolivia,"Civil society groups in Bolivia launch a campaign on urban transport strikes, despite promises of a rapid settlement",society,other,,0,easy,none,no
ART000087,2022-01-06,Bolivia,"Bolivia's central bank keeps rates unchanged as transport costs remain volatile, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000088,2022-01-06,Thailand,"Thailand and Cambodia and Laos open talks on customs reform, while diplomats prepare a joint communiqué",international,other,,0,easy,none,no
ART000089,2022-01-06,Thailand,"Diplomats in Bangkok discuss whether term-limit tensions in Tunisia could disrupt regional summits, while local ministers stress that the risk is external, not domestic",international,other,,0,hard,foreign_event_reference,yes
ART000090,2022-01-06,Thailand,"Rice exporters in Thailand welcome a new logistics package, as investors watch inflation data",economy,other,,0,easy,none,no
ART000091,2022-01-07,Guinea,"Diplomats say Guinea wants a broader regional deal on regional power links, before a regional summit in the capital",international,other,,0,easy,none,no
ART000092,2022-01-07,Guinea,"National Renewal Movement lawmakers propose routine updates to court budgeting and case management, as reformers argue that efficiency is being mistaken for politicization",law,other,,0,hard,institutional_reform_noise,yes
ART000093,2022-01-07,Guinea,"Finance officials in Guinea revise growth expectations after a stronger quarter, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000094,2022-01-07,Mali,"Gold exporters in Mali welcome a new logistics package, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000095,2022-01-07,Mali,"Interior officials in Mali announce new steps against bandit attacks on traders, with merchants urging faster escorts for convoys",security,other,,0,easy,none,no
ART000096,2022-01-07,Mali,"Malian Armed Forces begins a routine training exercise near Bamako, while aid groups ask for more safeguards on the route",security,other,,0,easy,none,no
ART000097,2022-01-07,Tunisia,"Editors in Tunisia compare today's political mood with the 2002 institutional rupture, without any sign of an immediate rupture in state institutions",politics,other,,0,hard,historical_reference,yes
ART000098,2022-01-07,Tunisia,"Banks in Tunisia tighten checks after political unrest in Thailand unsettles cross-border transfers, while local ministers stress that the risk is external, not domestic",international,other,,0,hard,foreign_event_reference,yes
ART000099,2022-01-07,Tunisia,"Opposition speakers accuse ministers of a 'third-term mindset' even as no amendment reaches parliament, using rhetorical language rather than alleging an actual seizure of power",politics,other,,0,hard,metaphorical_language,yes
ART000100,2022-01-07,Bolivia,"General Marco Villarroel denies coup rumors after an overnight deployment near La Paz, after images of armored vehicles circulated online",security,other,,0,hard,denial_or_rumor,yes
ART000101,2022-01-07,Bolivia,"Quispe rejects calls for a cabinet reshuffle during talks in La Paz, after talks with coalition deputies",politics,other,,0,easy,none,no
ART000102,2022-01-07,Bolivia,"President Lucia Quispe says judicial salaries and infrastructure will be discussed in the next budget, as business groups lobby for clarity",law,other,,0,easy,none,no
ART000103,2022-01-07,Thailand,"Prime Minister Aran Chaiyasit meets coalition lawmakers as Thailand debates teacher hiring, after talks with coalition deputies",politics,other,,0,easy,none,no
ART000104,2022-01-07,Thailand,"Thailand signs a memorandum on transport corridors and trade facilitation, amid new talks on migration and trade",international,other,,0,easy,none,no
ART000105,2022-01-07,Thailand,"Civil society groups in Thailand launch a campaign on hospital staffing, as unions threaten further action",society,other,,0,easy,none,no
ART000106,2022-01-08,Guinea,"Constitutional Court hears arguments on municipal election rules in Guinea, with legal observers calling it a routine test of procedure",law,other,,0,easy,none,no
ART000107,2022-01-08,Guinea,"Teachers in Conakry suspend a strike while negotiations continue over youth job programs, despite promises of a rapid settlement",society,other,,0,easy,none,no
ART000108,2022-01-08,Guinea,"President Mamadou Keita says judicial salaries and infrastructure will be discussed in the next budget, while bar associations follow the case closely",law,other,,0,easy,none,no
ART000109,2022-01-08,Mali,"Justice Minister Oumar Dembélé rejects opposition claims of an imminent purge of judges, while opposition parties demand more transparency",law,other,,0,hard,denial_or_rumor,yes
ART000110,2022-01-08,Mali,"Parliament debates a judicial transparency bill focused on publishing court statistics, with legal scholars calling the package largely administrative",law,other,,0,hard,institutional_reform_noise,yes
ART000111,2022-01-08,Mali,"Justice Minister Oumar Dembélé opens disciplinary cases against magistrates who freed opposition activists, drawing protests from bar associations",law,judiciary_weakening,,1,easy,none,no
ART000112,2022-01-08,Tunisia,"Government spokesmen in Tunisia say there is no plan to rewrite presidential term rules, after images of armored vehicles circulated online",politics,other,,0,hard,denial_or_rumor,yes
ART000113,2022-01-08,Tunisia,"Judicial offices in Tunis are searched after prosecutors contest a security decree, drawing protests from bar associations",law,judiciary_weakening,,1,hard,soft_positive,yes
ART000114,2022-01-08,Tunisia,"Diplomats say Tunisia wants a broader regional deal on border trade rules, before a regional summit in the capital",international,other,,0,easy,none,no
ART000115,2022-01-08,Bolivia,"Plurinational Constitutional Court hears arguments on compensation claims after floods in Bolivia, while bar associations follow the case closely",law,other,,0,easy,none,no
ART000116,2022-01-08,Bolivia,"Banks in Bolivia tighten checks after political unrest in Thailand unsettles cross-border transfers, even though domestic institutions remain unchanged",international,other,,0,hard,foreign_event_reference,yes
ART000117,2022-01-08,Bolivia,"President Lucia Quispe says judicial salaries and infrastructure will be discussed in the next budget, with legal observers calling it a routine test of procedure",law,other,,0,easy,none,no
ART000118,2022-01-08,Thailand,"Royal Thai Armed Forces begins a routine training exercise near Bangkok, with merchants urging faster escorts for convoys",security,other,,0,easy,none,no
ART000119,2022-01-08,Thailand,"Constitutional Court hears arguments on compensation claims after floods in Thailand, after judges requested more time for deliberation",law,other,,0,easy,none,no
ART000120,2022-01-08,Thailand,"Diplomats say Thailand wants a broader regional deal on regional power links, as ministers seek financing for transport links",international,other,,0,easy,none,no
ART000121,2022-01-09,Guinea,"Traders in Conakry watch reports of coup rumors in Tunisia as border freight slows, while local ministers stress that the risk is external, not domestic",international,other,,0,hard,foreign_event_reference,yes
ART000122,2022-01-09,Guinea,"Finance officials in Guinea revise growth expectations after a stronger quarter, as investors watch inflation data",economy,other,,0,easy,none,no
ART000123,2022-01-09,Guinea,"Diplomats say Guinea wants a broader regional deal on regional power links, amid new talks on migration and trade",international,other,,0,easy,none,no
ART000124,2022-01-09,Mali,"Gold exporters in Mali welcome a new logistics package, after exporters reported stronger shipments",economy,other,,0,easy,none,no
ART000125,2022-01-09,Mali,"Civil society groups in Mali launch a campaign on hospital staffing, as unions threaten further action",society,other,,0,easy,none,no
ART000126,2022-01-09,Mali,"Business leaders in Bamako warn that port delays are raising costs for importers, as investors watch inflation data",economy,other,,0,easy,none,no
ART000127,2022-01-09,Tunisia,"Civil society groups in Tunisia launch a campaign on teacher salaries, while parents and students call for clarity",society,other,,0,easy,none,no
ART000128,2022-01-09,Tunisia,"Flood mitigation plans dominate local radio in Tunis after heavy rain, despite promises of a rapid settlement",society,other,,0,easy,none,no
ART000129,2022-01-09,Tunisia,"University researchers in Tunis publish a report on lessons from the 2022 constitutional crisis, as investors ask whether the comparison is overdone",politics,other,,0,hard,historical_reference,yes
ART000130,2022-01-09,Bolivia,"Lawyers in La Paz debate digital reforms meant to reduce delays in civil courts, with legal observers calling it a routine test of procedure",law,other,,0,easy,none,no
ART000131,2022-01-09,Bolivia,"Diego Rojas asks for parliamentary hearings on grain reserves in Bolivia, after talks with coalition deputies",politics,other,,0,easy,none,no
ART000132,2022-01-09,Bolivia,"Business leaders in La Paz warn that port delays are raising costs for importers, after exporters reported stronger shipments",economy,other,,0,easy,none,no
ART000133,2022-01-09,Thailand,"ASEAN envoys visit Bangkok to discuss regional power links, before a regional summit in the capital",international,other,,0,easy,none,no
ART000134,2022-01-09,Thailand,"Thailand signs a memorandum on transport corridors and trade facilitation, as ministers seek financing for transport links",international,other,,0,easy,none,no
ART000135,2022-01-09,Thailand,"Prime Minister Aran Chaiyasit suspends senior judges after they questioned an emergency decree, as international partners voice concern over checks and balances",law,judiciary_weakening,,1,easy,none,no
ART000136,2022-01-10,Guinea,"Guinea's central bank keeps rates unchanged as import bills fall after a good harvest, while the finance ministry revises forecasts",economy,other,,0,easy,none,no
ART000137,2022-01-10,Guinea,"Flood mitigation plans dominate local radio in Conakry after heavy rain, after a late-night meeting with ministers",society,other,,0,easy,none,no
ART000138,2022-01-10,Guinea,"Teachers in Conakry suspend a strike while negotiations continue over youth job programs, as unions threaten further action",society,other,,0,easy,none,no
ART000139,2022-01-10,Mali,"Mali signs a memorandum on transport corridors and trade facilitation, while diplomats prepare a joint communiqué",international,other,,0,easy,none,no
ART000140,2022-01-10,Mali,"Finance officials in Mali revise growth expectations after a stronger quarter, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000141,2022-01-10,Mali,"Sissoko rejects calls for a cabinet reshuffle during talks in Bamako, as local election preparations begin",politics,other,,0,easy,none,no
ART000142,2022-01-10,Tunisia,"Business leaders in Tunis warn that port delays are raising costs for importers, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000143,2022-01-10,Tunisia,"Diplomats say Tunisia wants a broader regional deal on migration procedures, before a regional summit in the capital",international,other,,0,easy,none,no
ART000144,2022-01-10,Tunisia,"Olive Oil exporters in Tunisia welcome a new logistics package, as investors watch inflation data",economy,other,,0,easy,none,no
ART000145,2022-01-10,Bolivia,"Teachers in La Paz suspend a strike while negotiations continue over urban transport strikes, as unions threaten further action",society,other,,0,easy,none,no
ART000146,2022-01-10,Bolivia,"Quispe rejects calls for a cabinet reshuffle during talks in La Paz, as local election preparations begin",politics,other,,0,easy,none,no
ART000147,2022-01-10,Bolivia,"Council of Magistrates opens consultations on case backlogs and court staffing, while bar associations follow the case closely",law,other,,0,easy,none,no
ART000148,2022-01-10,Thailand,"Hospital unions in Thailand press ministers for clarity on teacher salaries, despite promises of a rapid settlement",society,other,,0,easy,none,no
ART000149,2022-01-10,Thailand,"Arab Maghreb Union envoys brief officials in Bangkok on tensions inside Tunisia, while local ministers stress that the risk is external, not domestic",international,other,,0,hard,foreign_event_reference,yes
ART000150,2022-01-10,Thailand,"ASEAN envoys visit Bangkok to discuss border trade rules, as ministers seek financing for transport links",international,other,,0,easy,none,no
ART000151,2022-01-11,Guinea,"Parliament debates a judicial transparency bill focused on publishing court statistics, after donor agencies offered technical assistance",law,other,,0,hard,institutional_reform_noise,yes
ART000152,2022-01-11,Guinea,"Guinea's central bank keeps rates unchanged as transport costs remain volatile, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000153,2022-01-11,Guinea,"Editors in Guinea compare today's political mood with the 2010 institutional rupture, while ministers insist the current situation is different",politics,other,,0,hard,historical_reference,yes
ART000154,2022-01-11,Mali,"University researchers in Bamako publish a report on lessons from the 2020 constitutional crisis, while ministers insist the current situation is different",politics,other,,0,hard,historical_reference,yes
ART000155,2022-01-11,Mali,"Mali and Mauritania and Niger open talks on joint patrol coordination, while diplomats prepare a joint communiqué",international,other,,0,easy,none,no
ART000156,2022-01-11,Mali,"Sissoko rejects calls for a cabinet reshuffle during talks in Bamako, ahead of next month's budget session",politics,other,,0,easy,none,no
ART000157,2022-01-11,Tunisia,"Business leaders in Tunis warn that port delays are raising costs for importers, while the finance ministry revises forecasts",economy,other,,0,easy,none,no
ART000158,2022-01-11,Tunisia,"General Hatem Baccar denies coup rumors after an overnight deployment near Tunis, while opposition parties demand more transparency",security,other,,0,hard,denial_or_rumor,yes
ART000159,2022-01-11,Tunisia,"Olive Oil exporters in Tunisia welcome a new logistics package, while the finance ministry revises forecasts",economy,other,,0,easy,none,no
ART000160,2022-01-11,Bolivia,"Banks in Bolivia tighten checks after political unrest in Thailand unsettles cross-border transfers, with most concern focused on trade and migration rather than regime change at home",international,other,,0,hard,foreign_event_reference,yes
ART000161,2022-01-11,Bolivia,"Finance officials in Bolivia revise growth expectations after a stronger quarter, after exporters reported stronger shipments",economy,other,,0,easy,none,no
ART000162,2022-01-11,Bolivia,"President Lucia Quispe meets coalition lawmakers as Bolivia debates fuel subsidies, as local election preparations begin",politics,other,,0,easy,none,no
ART000163,2022-01-11,Thailand,"Flood mitigation plans dominate local radio in Bangkok after heavy rain, while parents and students call for clarity",society,other,,0,easy,none,no
ART000164,2022-01-11,Thailand,"Thailand's parliament opens a new session focused on fuel subsidies, as local election preparations begin",politics,other,,0,easy,none,no
ART000165,2022-01-11,Thailand,"Thailand's central bank keeps rates unchanged as currency pressure eases in urban markets, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000166,2022-01-12,Guinea,"Guinean Armed Forces begins a routine training exercise near Conakry, while aid groups ask for more safeguards on the route",security,other,,0,easy,none,no
ART000167,2022-01-12,Guinea,"Guinea's central bank keeps rates unchanged as transport costs remain volatile, as investors watch inflation data",economy,other,,0,easy,none,no
ART000168,2022-01-12,Guinea,"Guinea's exporters say uncertainty over judicial reforms in Bolivia is delaying payments, while local ministers stress that the risk is external, not domestic",international,other,,0,hard,foreign_event_reference,yes
ART000169,2022-01-12,Mali,"Constitutional Court hears arguments on a land case involving local councils in Mali, with legal observers calling it a routine test of procedure",law,other,,0,easy,none,no
ART000170,2022-01-12,Mali,"Sissoko rejects calls for a cabinet reshuffle during talks in Bamako, while labor unions press for wage talks",politics,other,,0,easy,none,no
ART000171,2022-01-12,Mali,"Mali's central bank keeps rates unchanged as electricity tariffs stay under review, with traders expecting a stable harvest season",economy,other,,0,easy,none,no
ART000172,2022-01-12,Tunisia,"Teachers in Tunis suspend a strike while negotiations continue over urban transport strikes, after a late-night meeting with ministers",society,other,,0,easy,none,no
ART000173,2022-01-12,Tunisia,"Tunisia's parliament opens a new session focused on teacher hiring, as local election preparations begin",politics,other,,0,easy,none,no
ART000174,2022-01-12,Tunisia,"Administrative Court reviews technical amendments to election administration rules in Tunis, after donor agencies offered technical assistance",law,other,,0,hard,institutional_reform_noise,yes
ART000175,2022-01-12,Bolivia,"Bolivia and Peru and Chile open talks on joint patrol coordination, while diplomats prepare a joint communiqué",international,other,,0,easy,none,no
ART000176,2022-01-12,Bolivia,"Commanders brief parliament on efforts to contain rural road checkpoints, with merchants urging faster escorts for convoys",security,other,,0,easy,none,no
ART000177,2022-01-12,Bolivia,"Plurinational Constitutional Court reviews technical amendments to election administration rules in La Paz, while opposition parties search for broader political meaning in a narrow legal change",law,other,,0,hard,institutional_reform_noise,yes
