shot_id,country,headline,label,news_topic,difficulty,hard_case_type,is_hard_case
SHOT0020,Bolivia,"Commanders brief parliament on efforts to contain smuggling routes near the northern corridor, while aid groups ask for more safeguards on the route",other,security,easy,none,no
SHOT0021,Guinea,"ECOWAS envoys visit Conakry to discuss joint patrol coordination, amid new talks on migration and trade",other,international,easy,none,no
SHOT0022,Thailand,"University researchers in Bangkok publish a report on lessons from the 2014 constitutional crisis, ahead of a televised roundtable on democratic safeguards",other,politics,hard,historical_reference,yes
SHOT0023,Mali,"General Abdoulaye Maiga denies coup rumors after an overnight deployment near Bamako, but social media chatter keeps markets on edge",other,security,hard,denial_or_rumor,yes
SHOT0024,Thailand,"Diplomats in Bangkok discuss whether term-limit tensions in Tunisia could disrupt regional summits, as businesses hedge against spillovers from the neighboring crisis",other,international,hard,foreign_event_reference,yes
SHOT0025,Bolivia,"Student leaders in Bolivia denounce a 'civilian coup' against campus unions after permit changes, as analysts caution that the metaphor may confuse external observers",other,politics,hard,metaphorical_language,yes
SHOT0026,Mali,"Teachers in Bamako suspend a strike while negotiations continue over flood response plans, as unions threaten further action",other,society,easy,none,no
SHOT0027,Tunisia,"Columnists say President Karim Ben Salem's cabinet is staging a 'judicial coup' in the battle over port fees, in a speech that energizes supporters but blurs legal categories",other,politics,hard,metaphorical_language,yes
SHOT0028,Tunisia,"President Karim Ben Salem meets coalition lawmakers as Tunisia debates teacher hiring, after talks with coalition deputies",other,politics,easy,none,no
SHOT0029,Guinea,"Presidency dismisses speculation that Keita is planning another term, while opposition parties demand more transparency",other,security,hard,denial_or_rumor,yes
SHOT0030,Bolivia,"Finance officials in Bolivia revise growth expectations after a stronger quarter, as investors watch inflation data",other,economy,easy,none,no
SHOT0031,Mali,"Diplomats say Mali wants a broader regional deal on migration procedures, as ministers seek financing for transport links",other,international,easy,none,no
SHOT0032,Guinea,"Hospital unions in Guinea press ministers for clarity on teacher salaries, despite promises of a rapid settlement",other,society,easy,none,no
SHOT0033,Guinea,"Supreme Council of Magistrates opens consultations on case backlogs and court staffing, with legal observers calling it a routine test of procedure",other,law,easy,none,no
SHOT0034,Tunisia,"Ben Salem rejects calls for a cabinet reshuffle during talks in Tunis, as local election preparations begin",other,politics,easy,none,no
SHOT0035,Guinea,"General Ibrahima Sylla denies coup rumors after an overnight deployment near Conakry, after images of armored vehicles circulated online",other,politics,hard,denial_or_rumor,yes
SHOT0036,Tunisia,"Ben Salem rejects calls for a cabinet reshuffle during talks in Tunis, while labor unions press for wage talks",other,politics,easy,none,no
SHOT0037,Guinea,"President Mamadou Keita meets coalition lawmakers as Guinea debates port modernization, after talks with coalition deputies",other,politics,easy,none,no
SHOT0038,Thailand,"Thailand signs a memorandum on transport corridors and trade facilitation, as ministers seek financing for transport links",other,international,easy,none,no
SHOT0039,Bolivia,"President Lucia Quispe says judicial salaries and infrastructure will be discussed in the next budget, as business groups lobby for clarity",other,law,easy,none,no
SHOT0040,Tunisia,"Olive Oil exporters in Tunisia welcome a new logistics package, with traders expecting a stable harvest season",other,economy,easy,none,no
SHOT0041,Guinea,"Hospital unions in Guinea press ministers for clarity on urban transport strikes, as unions threaten further action",other,society,easy,none,no
SHOT0042,Thailand,"Thailand's parliament opens a new session focused on municipal finance rules, after talks with coalition deputies",other,politics,easy,none,no
SHOT0043,Guinea,"Guinea's exporters say uncertainty over judicial reforms in Bolivia is delaying payments, even though domestic institutions remain unchanged",other,international,hard,foreign_event_reference,yes
SHOT0044,Tunisia,"Business leaders in Tunis warn that port delays are raising costs for importers, after exporters reported stronger shipments",other,economy,easy,none,no
SHOT0045,Thailand,"Columnists say Prime Minister Aran Chaiyasit's cabinet is staging a 'judicial coup' in the battle over port fees, in a speech that energizes supporters but blurs legal categories",other,law,hard,metaphorical_language,yes
SHOT0046,Mali,"Officials in Bamako call viral claims about a looming takeover baseless, while opposition parties demand more transparency",other,security,hard,denial_or_rumor,yes
SHOT0047,Tunisia,"Security forces in Tunisia escort commercial convoys through high-risk areas, as border officials tighten inspections",other,security,easy,none,no
SHOT0048,Mali,"Mali signs a memorandum on transport corridors and trade facilitation, as ministers seek financing for transport links",other,international,easy,none,no
SHOT0049,Bolivia,"Security forces in Bolivia escort commercial convoys through high-risk areas, while aid groups ask for more safeguards on the route",other,security,easy,none,no
SHOT0050,Tunisia,"Tunisia's central bank keeps rates unchanged as electricity tariffs stay under review, while the finance ministry revises forecasts",other,economy,easy,none,no
SHOT0051,Tunisia,"Gunfire erupts near government buildings in Tunis as officers announce a military takeover, after flights are diverted and land borders close",coup,security,easy,none,no
SHOT0052,Bolivia,"Bolivian Armed Forces commanders say they are taking charge of the state after detaining senior officials overnight, while Andean Community leaders call an emergency meeting",coup,security,hard,soft_positive,yes
SHOT0053,Tunisia,"Presidential guards confine cabinet ministers to the barracks and announce a transition committee in Tunisia, after flights are diverted and land borders close",coup,security,hard,soft_positive,yes
SHOT0054,Bolivia,"Presidential guards confine cabinet ministers to the barracks and announce a transition committee in Bolivia, prompting traders to shut markets and banks for the day",coup,security,hard,soft_positive,yes
SHOT0055,Bolivia,"Mutinous officers from the Bolivian Armed Forces detain President Lucia Quispe and announce a coup, as residents report checkpoints across the capital",coup,security,easy,none,no
SHOT0056,Tunisia,"Presidential guards confine cabinet ministers to the barracks and announce a transition committee in Tunisia, as residents report checkpoints across the capital",coup,security,hard,soft_positive,yes
SHOT0057,Tunisia,"Tunisian Armed Forces commanders say they are taking charge of the state after detaining senior officials overnight, after flights are diverted and land borders close",coup,security,hard,soft_positive,yes
SHOT0058,Bolivia,"Commanders declare a curfew after arresting ministers and dissolving institutions in Bolivia, after flights are diverted and land borders close",coup,security,easy,none,no
SHOT0059,Bolivia,"Armored units take positions around ministries in La Paz as soldiers declare that civilian institutions are dissolved, after flights are diverted and land borders close",coup,security,hard,soft_positive,yes
SHOT0060,Mali,"Presidential guards confine cabinet ministers to the barracks and announce a transition committee in Mali, after flights are diverted and land borders close",coup,security,hard,soft_positive,yes
SHOT0061,Mali,"Malian Armed Forces commanders say they are taking charge of the state after detaining senior officials overnight, while ECOWAS leaders call an emergency meeting",coup,security,hard,soft_positive,yes
SHOT0062,Guinea,"Armored units take positions around ministries in Conakry as soldiers declare that civilian institutions are dissolved, after flights are diverted and land borders close",coup,security,hard,soft_positive,yes
SHOT0063,Tunisia,"Officers seize the state broadcaster in Tunis before dawn and issue orders suspending elected authorities, after flights are diverted and land borders close",coup,security,hard,soft_positive,yes
SHOT0064,Tunisia,"Officers seize the state broadcaster in Tunis before dawn and issue orders suspending elected authorities, prompting traders to shut markets and banks for the day",coup,security,hard,soft_positive,yes
SHOT0065,Guinea,"Officers seize the state broadcaster in Conakry before dawn and issue orders suspending elected authorities, while ECOWAS leaders call an emergency meeting",coup,security,hard,soft_positive,yes
SHOT0066,Mali,"Armored units take positions around ministries in Bamako as soldiers declare that civilian institutions are dissolved, as residents report checkpoints across the capital",coup,security,hard,soft_positive,yes
SHOT0067,Mali,"Presidential guards confine cabinet ministers to the barracks and announce a transition committee in Mali, while ECOWAS leaders call an emergency meeting",coup,security,hard,soft_positive,yes
SHOT0068,Thailand,"Troops seize the state broadcaster in Bangkok and suspend the constitution in an apparent coup, while ASEAN leaders call an emergency meeting",coup,security,easy,none,no
SHOT0069,Tunisia,"Presidential guards confine cabinet ministers to the barracks and announce a transition committee in Tunisia, while Arab Maghreb Union leaders call an emergency meeting",coup,security,hard,soft_positive,yes
SHOT0070,Thailand,"Armored units take positions around ministries in Bangkok as soldiers declare that civilian institutions are dissolved, after flights are diverted and land borders close",coup,security,hard,soft_positive,yes
SHOT0071,Mali,"Troops seize the state broadcaster in Bamako and suspend the constitution in an apparent coup, prompting traders to shut markets and banks for the day",coup,security,easy,none,no
SHOT0072,Guinea,"Officers seize the state broadcaster in Conakry before dawn and issue orders suspending elected authorities, after flights are diverted and land borders close",coup,security,hard,soft_positive,yes
SHOT0073,Mali,"Malian Armed Forces commanders say they are taking charge of the state after detaining senior officials overnight, as residents report checkpoints across the capital",coup,security,hard,soft_positive,yes
SHOT0074,Thailand,"Gunfire erupts near government buildings in Bangkok as officers announce a military takeover, as residents report checkpoints across the capital",coup,security,easy,none,no
SHOT0075,Guinea,"Troops seize the state broadcaster in Conakry and suspend the constitution in an apparent coup, as residents report checkpoints across the capital",coup,security,easy,none,no
SHOT0076,Bolivia,"Commanders declare a curfew after arresting ministers and dissolving institutions in Bolivia, prompting traders to shut markets and banks for the day",coup,security,easy,none,no
SHOT0077,Thailand,"Presidential guards confine cabinet ministers to the barracks and announce a transition committee in Thailand, prompting traders to shut markets and banks for the day",coup,security,hard,soft_positive,yes
SHOT0078,Thailand,"Commanders declare a curfew after arresting ministers and dissolving institutions in Thailand, while ASEAN leaders call an emergency meeting",coup,security,easy,none,no
SHOT0079,Mali,"Officers seize the state broadcaster in Bamako before dawn and issue orders suspending elected authorities, as residents report checkpoints across the capital",coup,security,hard,soft_positive,yes
SHOT0080,Thailand,"Mutinous officers from the Royal Thai Armed Forces detain Prime Minister Aran Chaiyasit and announce a coup, as residents report checkpoints across the capital",coup,security,easy,none,no
SHOT0081,Tunisia,"Mutinous officers from the Tunisian Armed Forces detain President Karim Ben Salem and announce a coup, after flights are diverted and land borders close",coup,security,easy,none,no
SHOT0082,Mali,"Mutinous officers from the Malian Armed Forces detain President Ibrahim Sissoko and announce a coup, while ECOWAS leaders call an emergency meeting",coup,security,easy,none,no
SHOT0083,Guinea,"Mutinous officers from the Guinean Armed Forces detain President Mamadou Keita and announce a coup, prompting traders to shut markets and banks for the day",coup,security,easy,none,no
SHOT0084,Tunisia,"Commanders declare a curfew after arresting ministers and dissolving institutions in Tunisia, prompting traders to shut markets and banks for the day",coup,security,easy,none,no
SHOT0085,Tunisia,"Armored units take positions around ministries in Tunis as soldiers declare that civilian institutions are dissolved, as residents report checkpoints across the capital",coup,security,hard,soft_positive,yes
SHOT0086,Mali,"Troops seize the state broadcaster in Bamako and suspend the constitution in an apparent coup, as residents report checkpoints across the capital",coup,security,easy,none,no
SHOT0087,Thailand,"Royal Thai Armed Forces commanders say they are taking charge of the state after detaining senior officials overnight, prompting traders to shut markets and banks for the day",coup,security,hard,soft_positive,yes
SHOT0088,Mali,"Mutinous officers from the Malian Armed Forces detain President Ibrahim Sissoko and announce a coup, after flights are diverted and land borders close",coup,security,easy,none,no
SHOT0089,Thailand,"Commanders declare a curfew after arresting ministers and dissolving institutions in Thailand, after flights are diverted and land borders close",coup,security,easy,none,no
SHOT0090,Mali,"Malian Armed Forces commanders say they are taking charge of the state after detaining senior officials overnight, prompting traders to shut markets and banks for the day",coup,security,hard,soft_positive,yes
SHOT0091,Tunisia,"Troops seize the state broadcaster in Tunis and suspend the constitution in an apparent coup, as residents report checkpoints across the capital",coup,security,easy,none,no
SHOT0092,Mali,"Malian Armed Forces commanders say they are taking charge of the state after detaining senior officials overnight, after flights are diverted and land borders close",coup,security,hard,soft_positive,yes
SHOT0093,Mali,"Presidential guards confine cabinet ministers to the barracks and announce a transition committee in Mali, prompting traders to shut markets and banks for the day",coup,security,hard,soft_positive,yes
SHOT0094,Thailand,"Mutinous officers from the Royal Thai Armed Forces detain Prime Minister Aran Chaiyasit and announce a coup, after flights are diverted and land borders close",coup,security,easy,none,no
SHOT0095,Tunisia,"Tunisian Armed Forces commanders say they are taking charge of the state after detaining senior officials overnight, prompting traders to shut markets and banks for the day",coup,security,hard,soft_positive,yes
SHOT0096,Tunisia,"Armored units take positions around ministries in Tunis as soldiers declare that civilian institutions are dissolved, while Arab Maghreb Union leaders call an emergency meeting",coup,security,hard,soft_positive,yes
SHOT0097,Bolivia,"Troops seize the state broadcaster in La Paz and suspend the constitution in an apparent coup, while Andean Community leaders call an emergency meeting",coup,security,easy,none,no
SHOT0098,Thailand,"Mutinous officers from the Royal Thai Armed Forces detain Prime Minister Aran Chaiyasit and announce a coup, prompting traders to shut markets and banks for the day",coup,security,easy,none,no
SHOT0099,Tunisia,"Officers seize the state broadcaster in Tunis before dawn and issue orders suspending elected authorities, while Arab Maghreb Union leaders call an emergency meeting",coup,security,hard,soft_positive,yes
SHOT0100,Bolivia,"Presidential guards confine cabinet ministers to the barracks and announce a transition committee in Bolivia, while Andean Community leaders call an emergency meeting",coup,security,hard,soft_positive,yes
SHOT0101,Guinea,"National Renewal Movement lawyers argue that earlier mandates should not count under a proposed constitutional reset in Guinea, after a late-night session in parliament",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0102,Tunisia,"President Karim Ben Salem asks judges to clarify whether a revised charter would restart the presidential clock, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0103,Mali,"Mariam Traore says the government's referendum draft is designed so that Sissoko can remain eligible beyond the current limit, weeks before the ruling party congress",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0104,Tunisia,"Leila Gharbi says the government's referendum draft is designed so that Ben Salem can remain eligible beyond the current limit, despite boycott threats from opposition groups in Tunis",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0105,Guinea,"Electoral authorities publish a referendum calendar after cabinet backs term-limit changes in Guinea, despite boycott threats from opposition groups in Conakry",term_limit_evasion,politics,easy,none,no
SHOT0106,Thailand,"Prime Minister Aran Chaiyasit asks judges to clarify whether a revised charter would restart the presidential clock, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0107,Tunisia,"Electoral authorities publish a referendum calendar after cabinet backs term-limit changes in Tunisia, despite boycott threats from opposition groups in Tunis",term_limit_evasion,politics,easy,none,no
SHOT0108,Thailand,"National Stability Party lawmakers approve a constitutional amendment removing the presidential term cap, after a late-night session in parliament",term_limit_evasion,politics,easy,none,no
SHOT0109,Thailand,"Ruling coalition figures say continuity requires a new eligibility formula before the next election in Thailand, after a late-night session in parliament",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0110,Guinea,"National Renewal Movement lawyers argue that earlier mandates should not count under a proposed constitutional reset in Guinea, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0111,Guinea,"Aissatou Diallo accuses National Renewal Movement of rewriting the constitution to keep Keita in office, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,easy,none,no
SHOT0112,Mali,"Alliance for Sovereignty lawmakers approve a constitutional amendment removing the presidential term cap, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,easy,none,no
SHOT0113,Bolivia,"Electoral authorities publish a referendum calendar after cabinet backs term-limit changes in Bolivia, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,easy,none,no
SHOT0114,Thailand,"National Stability Party lawyers argue that earlier mandates should not count under a proposed constitutional reset in Thailand, weeks before the ruling party congress",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0115,Mali,"Alliance for Sovereignty lawmakers approve a constitutional amendment removing the presidential term cap, weeks before the ruling party congress",term_limit_evasion,politics,easy,none,no
SHOT0116,Thailand,"National Stability Party lawyers argue that earlier mandates should not count under a proposed constitutional reset in Thailand, after a late-night session in parliament",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0117,Guinea,"Ruling coalition figures say continuity requires a new eligibility formula before the next election in Guinea, after a late-night session in parliament",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0118,Tunisia,"Leila Gharbi says the government's referendum draft is designed so that Ben Salem can remain eligible beyond the current limit, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0119,Bolivia,"Movement for National Renewal lawyers argue that earlier mandates should not count under a proposed constitutional reset in Bolivia, weeks before the ruling party congress",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0120,Thailand,"National Stability Party lawmakers approve a constitutional amendment removing the presidential term cap, despite boycott threats from opposition groups in Bangkok",term_limit_evasion,politics,easy,none,no
SHOT0121,Tunisia,"President Karim Ben Salem asks judges to clarify whether a revised charter would restart the presidential clock, after a late-night session in parliament",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0122,Mali,"Ruling coalition figures say continuity requires a new eligibility formula before the next election in Mali, after a late-night session in parliament",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0123,Mali,"Alliance for Sovereignty lawyers argue that earlier mandates should not count under a proposed constitutional reset in Mali, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0124,Guinea,"Aissatou Diallo says the government's referendum draft is designed so that Keita can remain eligible beyond the current limit, after a late-night session in parliament",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0125,Guinea,"Aissatou Diallo says the government's referendum draft is designed so that Keita can remain eligible beyond the current limit, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0126,Tunisia,"National Reform Bloc lawyers argue that earlier mandates should not count under a proposed constitutional reset in Tunisia, despite boycott threats from opposition groups in Tunis",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0127,Thailand,"National Stability Party lawmakers approve a constitutional amendment removing the presidential term cap, weeks before the ruling party congress",term_limit_evasion,politics,easy,none,no
SHOT0128,Bolivia,"Movement for National Renewal lawmakers approve a constitutional amendment removing the presidential term cap, weeks before the ruling party congress",term_limit_evasion,politics,easy,none,no
SHOT0129,Mali,"Mariam Traore accuses Alliance for Sovereignty of rewriting the constitution to keep Sissoko in office, despite boycott threats from opposition groups in Bamako",term_limit_evasion,politics,easy,none,no
SHOT0130,Bolivia,"Movement for National Renewal lawmakers approve a constitutional amendment removing the presidential term cap, after a late-night session in parliament",term_limit_evasion,politics,easy,none,no
SHOT0131,Bolivia,"Electoral authorities publish a referendum calendar after cabinet backs term-limit changes in Bolivia, after a late-night session in parliament",term_limit_evasion,politics,easy,none,no
SHOT0132,Bolivia,"Electoral authorities publish a referendum calendar after cabinet backs term-limit changes in Bolivia, despite boycott threats from opposition groups in La Paz",term_limit_evasion,politics,easy,none,no
SHOT0133,Thailand,"Constitutional Court clears a referendum that could let Chaiyasit seek another term, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,easy,none,no
SHOT0134,Thailand,"Prime Minister Aran Chaiyasit asks judges to clarify whether a revised charter would restart the presidential clock, despite boycott threats from opposition groups in Bangkok",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0135,Bolivia,"Diego Rojas says the government's referendum draft is designed so that Quispe can remain eligible beyond the current limit, weeks before the ruling party congress",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0136,Mali,"Electoral authorities publish a referendum calendar after cabinet backs term-limit changes in Mali, after a late-night session in parliament",term_limit_evasion,politics,easy,none,no
SHOT0137,Bolivia,"Diego Rojas accuses Movement for National Renewal of rewriting the constitution to keep Quispe in office, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,easy,none,no
SHOT0138,Mali,"Mariam Traore accuses Alliance for Sovereignty of rewriting the constitution to keep Sissoko in office, weeks before the ruling party congress",term_limit_evasion,politics,easy,none,no
SHOT0139,Guinea,"Constitutional Court clears a referendum that could let Keita seek another term, after a late-night session in parliament",term_limit_evasion,politics,easy,none,no
SHOT0140,Mali,"President Ibrahim Sissoko asks judges to clarify whether a revised charter would restart the presidential clock, despite boycott threats from opposition groups in Bamako",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0141,Tunisia,"National Reform Bloc lawmakers approve a constitutional amendment removing the presidential term cap, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,easy,none,no
SHOT0142,Bolivia,"Movement for National Renewal lawmakers approve a constitutional amendment removing the presidential term cap, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,easy,none,no
SHOT0143,Tunisia,"Administrative Court clears a referendum that could let Ben Salem seek another term, after a late-night session in parliament",term_limit_evasion,politics,easy,none,no
SHOT0144,Thailand,"Pimchanok Saelim says the government's referendum draft is designed so that Chaiyasit can remain eligible beyond the current limit, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0145,Guinea,"Aissatou Diallo says the government's referendum draft is designed so that Keita can remain eligible beyond the current limit, weeks before the ruling party congress",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0146,Mali,"Mariam Traore accuses Alliance for Sovereignty of rewriting the constitution to keep Sissoko in office, as lawyers warn that the reform breaks with democratic precedent",term_limit_evasion,politics,easy,none,no
SHOT0147,Guinea,"Aissatou Diallo accuses National Renewal Movement of rewriting the constitution to keep Keita in office, weeks before the ruling party congress",term_limit_evasion,politics,easy,none,no
SHOT0148,Bolivia,"Electoral authorities publish a referendum calendar after cabinet backs term-limit changes in Bolivia, weeks before the ruling party congress",term_limit_evasion,politics,easy,none,no
SHOT0149,Bolivia,"Movement for National Renewal lawyers argue that earlier mandates should not count under a proposed constitutional reset in Bolivia, despite boycott threats from opposition groups in La Paz",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0150,Thailand,"Pimchanok Saelim says the government's referendum draft is designed so that Chaiyasit can remain eligible beyond the current limit, despite boycott threats from opposition groups in Bangkok",term_limit_evasion,politics,hard,soft_positive,yes
SHOT0151,Mali,"Parliament in Mali passes a law reducing Constitutional Court review powers, drawing protests from bar associations",judiciary_weakening,law,easy,none,no
SHOT0152,Guinea,"Cabinet decrees transfer case-allocation authority away from Constitutional Court administrators in Guinea, after judges demanded safeguards for tenure and case assignment",judiciary_weakening,law,hard,soft_positive,yes
SHOT0153,Thailand,"Justice Minister Narin Phol opens disciplinary cases against magistrates who freed opposition activists, as international partners voice concern over checks and balances",judiciary_weakening,law,easy,none,no
SHOT0154,Tunisia,"National Reform Bloc lawmakers expand seats on Administrative Court, giving the executive more appointments, drawing protests from bar associations",judiciary_weakening,law,easy,none,no
SHOT0155,Thailand,"Judicial offices in Bangkok are searched after prosecutors contest a security decree, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,hard,soft_positive,yes
SHOT0156,Tunisia,"President Karim Ben Salem suspends senior judges after they questioned an emergency decree, as international partners voice concern over checks and balances",judiciary_weakening,law,easy,none,no
SHOT0157,Thailand,"Judicial offices in Bangkok are searched after prosecutors contest a security decree, after judges demanded safeguards for tenure and case assignment",judiciary_weakening,law,hard,soft_positive,yes
SHOT0158,Tunisia,"Cabinet decrees transfer case-allocation authority away from Administrative Court administrators in Tunisia, as international partners voice concern over checks and balances",judiciary_weakening,law,hard,soft_positive,yes
SHOT0159,Bolivia,"Movement for National Renewal lawmakers expand seats on Plurinational Constitutional Court, giving the executive more appointments, drawing protests from bar associations",judiciary_weakening,law,easy,none,no
SHOT0160,Bolivia,"Justice Minister Valeria Soto receives new powers to reassign prosecutors without approval from Council of Magistrates, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,hard,soft_positive,yes
SHOT0161,Guinea,"National Renewal Movement lawmakers create an interim disciplinary panel for magistrates answerable to the executive, after judges demanded safeguards for tenure and case assignment",judiciary_weakening,law,hard,soft_positive,yes
SHOT0162,Bolivia,"Movement for National Renewal lawmakers create an interim disciplinary panel for magistrates answerable to the executive, after judges demanded safeguards for tenure and case assignment",judiciary_weakening,law,hard,soft_positive,yes
SHOT0163,Guinea,"Cabinet decrees transfer case-allocation authority away from Constitutional Court administrators in Guinea, drawing protests from bar associations",judiciary_weakening,law,hard,soft_positive,yes
SHOT0164,Tunisia,"President Karim Ben Salem suspends senior judges after they questioned an emergency decree, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,easy,none,no
SHOT0165,Guinea,"Judicial offices in Conakry are searched after prosecutors contest a security decree, drawing protests from bar associations",judiciary_weakening,law,hard,soft_positive,yes
SHOT0166,Thailand,"Justice Minister Narin Phol receives new powers to reassign prosecutors without approval from Judicial Commission, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,hard,soft_positive,yes
SHOT0167,Bolivia,"Judicial offices in La Paz are searched after prosecutors contest a security decree, drawing protests from bar associations",judiciary_weakening,law,hard,soft_positive,yes
SHOT0168,Thailand,"National Stability Party lawmakers create an interim disciplinary panel for magistrates answerable to the executive, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,hard,soft_positive,yes
SHOT0169,Guinea,"Cabinet decrees transfer case-allocation authority away from Constitutional Court administrators in Guinea, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,hard,soft_positive,yes
SHOT0170,Guinea,"National Renewal Movement lawmakers create an interim disciplinary panel for magistrates answerable to the executive, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,hard,soft_positive,yes
SHOT0171,Mali,"Justice Minister Oumar Dembélé opens disciplinary cases against magistrates who freed opposition activists, as international partners voice concern over checks and balances",judiciary_weakening,law,easy,none,no
SHOT0172,Tunisia,"National Reform Bloc lawmakers create an interim disciplinary panel for magistrates answerable to the executive, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,hard,soft_positive,yes
